Job_ID,Role,Required_Skills,Preferred_Skills,Experience
JD001,Python Data Analyst,Python; Pandas; NumPy; SQL; Data Visualization; Excel,Power BI; Machine Learning,0-2 Years
JD002,Frontend Developer,HTML; CSS; JavaScript; React; Git,TypeScript; Tailwind CSS,0-2 Years
JD003,AI/ML Engineer,Python; Machine Learning; Deep Learning; TensorFlow; NLP,Computer Vision; PyTorch,0-2 Years
JD004,Full Stack Developer,HTML; CSS; JavaScript; React; Node.js; MongoDB,Express.js; Git,0-2 Years
JD005,Java Developer,Java; OOP; Spring Boot; MySQL; Git,REST APIs; Hibernate,0-2 Years
JD006,Data Scientist,Python; Pandas; NumPy; Machine Learning; Statistics,TensorFlow; Deep Learning,0-2 Years
JD007,DevOps Engineer,Linux; Docker; Kubernetes; Git; CI/CD,AWS; Jenkins,0-2 Years
JD008,Software Testing Engineer,Manual Testing; Selenium; Test Cases; Bug Reporting,JIRA; Automation Testing,0-2 Years
JD009,HR Executive,Recruitment; Communication; Employee Relations; MS Excel,HR Policies; Talent Acquisition,0-2 Years
JD010,Recruiter,Candidate Sourcing; Resume Screening; Interview Scheduling,LinkedIn Recruiting; ATS,0-2 Years
JD011,Marketing Executive,Digital Marketing; SEO; Social Media Marketing; Content Creation,Google Analytics; SEM,0-2 Years
JD012,Sales Executive,Communication; Lead Generation; Negotiation; CRM,Business Development; Customer Relationship Management,0-2 Years
JD013,Business Analyst,Excel; Data Analysis; Documentation; Requirement Gathering,Power BI; SQL,0-2 Years
JD014,Customer Support Executive,Communication; Problem Solving; Customer Service; Ticket Handling,CRM; Technical Support,0-2 Years
JD015,Content Writer,Content Writing; Editing; Research; SEO Writing,Blogging; Copywriting,0-2 Years
JD016,Graphic Designer,Adobe Photoshop; Illustrator; Canva; Creativity,Branding; UI Design,0-2 Years
JD017,Operations Executive,Excel; Documentation; Reporting; Process Management,ERP Systems; Data Analysis,0-2 Years
JD018,Finance Analyst,Accounting; Financial Analysis; Excel; Budgeting,Forecasting; Financial Modeling,0-2 Years
JD019,Project Coordinator,Project Planning; Communication; Documentation; Scheduling,Agile; MS Project,0-2 Years
JD020,Administrative Assistant,MS Office; Documentation; Communication; Record Management,Data Entry; Scheduling,0-2 Years
JD021,UI/UX Designer,Figma; Wireframing; Prototyping; User Research,Adobe XD; Usability Testing,0-2 Years
JD022,Cloud Engineer,AWS; Cloud Computing; Linux; Networking,Azure; Terraform,0-2 Years
JD023,Cybersecurity Analyst,Network Security; Ethical Hacking; Linux; Vulnerability Assessment,SIEM; Penetration Testing,0-2 Years
JD024,Mobile App Developer,Flutter; Dart; Android Studio; API Integration,Firebase; Kotlin,0-2 Years
JD025,Database Administrator,SQL; Database Management; Backup and Recovery; Performance Tuning,Oracle; PostgreSQL,0-2 Years
